city,category,count
austin,Optimization ,4
austin,Mens Specific ,4
austin,Virtual Worlds ,4
austin,Franchises ,4
austin,Data Mining ,4
austin,Web Hosting ,4
austin,Online Shopping ,4
austin,Banking ,4
austin,Self Development ,4
austin,Point of Sale ,4
austin,All Students ,4
austin,Defense ,4
austin,Kids ,4
austin,E-Books ,4
austin,Psychology ,4
austin,Blogging Platforms ,4
austin,Content Marketing ,4
austin,Quantified Self ,4
austin,Environmental Innovation ,4
austin,Beauty ,4
austin,Intellectual Property ,4
austin,Dallas ,4
austin,Billing ,4
austin,Solar ,4
austin,Clinical Trials ,4
austin,Adventure Travel ,4
austin,Non Profit ,4
austin,Twitter Applications ,4
austin,Online Video Advertising ,4
austin,Aerospace ,5
austin,Craft Beer ,5
austin,Green ,5
austin,Digital Entertainment ,5
austin,Rental Housing ,5
austin,Parenting ,5
austin,Local Coupons ,5
austin,Gamification ,5
austin,Social Travel ,5
austin,Market Research ,5
austin,Supply Chain Management ,5
austin,Home Renovation ,5
austin,Home & Garden ,5
austin,Corporate Training ,5
austin,Semantic Search ,5
austin,Universities ,5
austin,Knowledge Management ,5
austin,Electronics ,5
austin,Groceries ,5
austin,Human Resources ,5
austin,PaaS ,5
austin,Energy Management ,5
austin,Mobile Coupons ,5
austin,None ,5
austin,Trading ,5
austin,Product Design ,5
austin,Cloud Management ,5
austin,Data Security ,5
austin,Young Adults ,5
austin,Data Integration ,5
austin,Social Network Media ,5
austin,Business Intelligence ,5
austin,Semiconductors ,6
austin,Music Services ,6
austin,Creative Industries ,6
austin,Social Fundraising ,6
austin,Home Automation ,6
austin,Marketing Automation ,6
austin,Identity Management ,6
austin,Facebook Applications ,6
austin,Public Relations ,6
austin,Outdoors ,6
austin,Shipping ,6
austin,High Tech ,6
austin,Insurance ,6
austin,Internet Infrastructure ,6
austin,Logistics ,6
austin,Customer Service ,6
austin,Mobile Enterprise ,6
austin,Government Innovation ,6
austin,Cloud-Based Music ,6
austin,Email Marketing ,6
austin,Nutrition ,6
austin,Sales Automation ,7
austin,Bridging Online and Offline ,7
austin,Developer Tools ,7
austin,Finance ,7
austin,Collaborative Consumption ,7
austin,Subscription Businesses ,7
austin,Developer APIs ,7
austin,IT Management ,7
austin,Video Streaming ,7
austin,Entertainment ,7
austin,Private Social Networking ,7
austin,Mobile Security ,7
austin,Water ,7
austin,Weddings ,7
austin,Consumer  ,7
austin,Artists Globally ,7
austin,Commercial Real Estate ,7
austin,Apps ,7
austin,Recruiting ,8
austin,Public Safety ,8
austin,Business Services ,8
austin,Organic Food ,8
austin,Personal Finance ,8
austin,United States ,8
austin,Families ,8
austin,Fantasy Sports ,8
austin,Art ,8
austin,Film Production ,8
austin,Marketing ,8
austin,Content Discovery ,8
austin,Wearables ,8
austin,Agriculture ,8
austin,Business Development ,8
austin,Local Businesses ,8
austin,Artificial Intelligence ,8
austin,Politics ,8
austin,Project Management ,8
austin,Energy Efficiency ,8
austin,Hardware ,8
austin,Construction ,8
austin,Medical ,8
austin,Wine And Spirits ,8
austin,Houston ,8
austin,Oil and Gas ,9
austin,Pharmaceuticals ,9
austin,Legal ,9
austin,Governments ,9
austin,Travel ,9
austin,Sporting Goods ,9
austin,Telecommunications ,9
austin,Cloud Infrastructure ,9
austin,Women-Focused ,9
austin,Content ,9
austin,Hardware + Software ,9
austin,Biotechnology ,9
austin,News ,9
austin,Photography ,9
austin,Independent Music ,9
austin,Web Design ,10
austin,Crowdfunding ,10
austin,Payments ,10
austin,Collaboration ,10
austin,Local Advertising ,10
austin,Pets ,10
austin,Productivity Software ,10
austin,Online Dating ,10
austin,Bitcoin ,10
austin,User Experience Design ,10
austin,Venture Capital ,10
austin,Specialty Foods ,10
austin,Networking ,10
austin,Social Television ,10
austin,Hospitality ,10
austin,Retail Technology ,10
austin,Android ,10
austin,Messaging ,10
austin,Manufacturing ,11
austin,iPhone ,11
austin,Cloud Data Services ,11
austin,Medical Devices ,11
austin,Consumer Internet ,11
austin,Event Management ,11
austin,Internet ,12
austin,Clean Energy ,12
austin,Search ,12
austin,Online Travel ,12
austin,Consulting ,12
austin,iOS ,12
austin,Peer-to-Peer ,12
austin,Curated Web ,12
austin,Photo Sharing ,12
austin,CRM ,13
